# disclosure_anchor research-priority universe — v11 phase-1 candidate from the frozen public screen.
# Best attainable phase-1 candidate / still not GO; rules and hashes: watchlist-v11-manifest.json.
# Threshold outcome, not forced fill; blank optional fields inherit global defaults.
security_code,exchange,status,joined_date,lookback_days,sync_frequency,process_classes,note
300001,SZSE,active,2026-08-23,,,,青岛特锐德电气股份有限公司
301165,SZSE,active,2026-08-23,,,,锐捷网络股份有限公司
605277,SSE,active,2026-08-23,,,,新亚电子股份有限公司
002588,SZSE,active,2026-08-23,,,,史丹利农业集团股份有限公司
603486,SSE,active,2026-08-23,,,,科沃斯机器人股份有限公司
600897,SSE,active,2026-08-23,,,,元翔(厦门)国际航空港股份有限公司
002545,SZSE,active,2026-08-23,,,,青岛东方铁塔股份有限公司
600031,SSE,active,2026-08-23,,,,三一重工股份有限公司
603380,SSE,active,2026-08-23,,,,苏州易德龙科技股份有限公司
605020,SSE,active,2026-08-23,,,,浙江永和制冷股份有限公司
002782,SZSE,active,2026-08-23,,,,深圳可立克科技股份有限公司
002827,SZSE,active,2026-08-23,,,,西藏高争民爆股份有限公司
002917,SZSE,active,2026-08-23,,,,深圳市金奥博科技股份有限公司
603558,SSE,active,2026-08-23,,,,浙江健盛集团股份有限公司
002472,SZSE,active,2026-08-23,,,,浙江双环传动机械股份有限公司
003033,SZSE,active,2026-08-23,,,,青岛征和工业股份有限公司
603031,SSE,active,2026-08-23,,,,安徽安孚电池科技股份有限公司
300604,SZSE,active,2026-08-23,,,,杭州长川科技股份有限公司
688072,SSE,active,2026-08-23,,,,拓荆科技股份有限公司
688668,SSE,active,2026-08-23,,,,东莞市鼎通精密科技股份有限公司
300893,SZSE,active,2026-08-23,,,,浙江松原汽车安全系统股份有限公司
688501,SSE,active,2026-08-23,,,,青岛达能环保设备股份有限公司
601138,SSE,active,2026-08-23,,,,富士康工业互联网股份有限公司
300666,SZSE,active,2026-08-23,,,,宁波江丰电子材料股份有限公司
603629,SSE,active,2026-08-23,,,,江苏利通电子股份有限公司
